mode,trial,params,score,annual_return,max_drawdown,positive_window_ratio,trades,factor_alignment,started_at,elapsed_sec
swing,1,"{""hold_days"": 4, ""max_daily_trades"": 5, ""signal_confidence_min"": 39.24149425590886, ""convexity_min"": 2.1272857535042933, ""news_weight"": 0.6973680290593639, ""report_weight"": 0.09417734788764953, ""signal_confidence_effective"": 38.17076446524778}",-0.5943526603679169,0.004923208176277782,0.5455350705342956,0.917960088691796,1412,-0.008884847237183182,2026-02-13T23:50:13.087975,116.14073181152344
swing,2,"{""hold_days"": 4, ""max_daily_trades"": 5, ""signal_confidence_min"": 37.97652388653453, ""convexity_min"": 2.1205652905025776, ""news_weight"": 0.5694114399233269, ""report_weight"": 0.2260870441170738, ""signal_confidence_effective"": 36.309288949852665}",-0.5944961604368958,0.004923208176277782,0.5455350705342956,0.917960088691796,1412,-0.009363180800446225,2026-02-13T23:52:09.415147,116.32716274261475
