name,rationale,params,train_metrics,validation_metrics,factor_alignment_train,factor_alignment_validation,score
trend_convex_01,趋势驱动+凸性约束,"{'signal_confidence_min': 50.0, 'convexity_min': 2.4386913871128724, 'hold_days': 11, 'max_daily_trades': 2}","{'annual_return': 0.0, 'max_drawdown': 0.0, 'positive_window_ratio': 1.0, 'trades': 0}","{'annual_return': 0.0, 'max_drawdown': 0.0, 'positive_window_ratio': 1.0, 'trades': 0, 'violations': 0}",0.0,0.0,0.25
report_momentum_02,研报偏向驱动的动量延续,"{'signal_confidence_min': 48.0, 'convexity_min': 2.238691387112872, 'hold_days': 14, 'max_daily_trades': 2}","{'annual_return': 0.0, 'max_drawdown': 0.0, 'positive_window_ratio': 1.0, 'trades': 0}","{'annual_return': 0.0, 'max_drawdown': 0.0, 'positive_window_ratio': 1.0, 'trades': 0, 'violations': 0}",0.0,0.0,0.25
news_reversion_03,新闻冲击后的均值回归,"{'signal_confidence_min': 45.0, 'convexity_min': 2.0386913871128725, 'hold_days': 7, 'max_daily_trades': 3}","{'annual_return': 0.0, 'max_drawdown': 0.0, 'positive_window_ratio': 1.0, 'trades': 0}","{'annual_return': 0.0, 'max_drawdown': 0.0, 'positive_window_ratio': 1.0, 'trades': 0, 'violations': 0}",0.0,0.0,0.25
