date,report_score
2017-01-05,0.0
2017-01-06,1.0
2017-01-12,0.6
2017-01-13,0.0
2017-01-16,1.0
2017-01-18,1.0
2017-02-10,1.0
2017-02-12,0.0
2017-02-21,1.0
2017-03-01,0.6
2017-03-02,0.3
2017-03-07,1.0
2017-03-09,0.3333333333333333
2017-03-10,1.0
2017-03-14,0.8
2017-03-15,1.0
2017-03-17,0.0
2017-03-20,0.6
2017-03-21,1.0
2017-03-22,0.5333333333333333
2017-03-24,1.0
2017-03-27,0.8666666666666667
2017-03-28,0.19999999999999998
2017-03-30,0.6
2017-03-31,0.5599999999999999
2017-04-01,0.8
2017-04-04,0.0
2017-04-06,0.0
2017-04-13,0.0
2017-04-14,1.0
2017-04-17,0.5
2017-04-18,0.6
2017-04-19,0.32
2017-04-20,1.0
2017-04-21,1.0
2017-04-24,0.4
2017-04-25,0.6799999999999999
2017-04-26,0.19999999999999998
2017-04-27,0.5
2017-04-28,1.0
2017-05-01,1.0
2017-05-02,0.7272727272727273
2017-05-03,1.0
2017-05-04,0.0
2017-05-05,1.0
2017-05-07,0.5
2017-05-09,1.0
2017-05-17,0.6
2017-05-18,1.0
2017-05-22,0.0
2017-05-23,1.0
2017-06-01,0.6
2017-06-07,1.0
2017-06-08,0.3
2017-06-12,1.0
2017-06-13,1.0
2017-06-16,1.0
2017-06-19,1.0
2017-06-23,0.5
2017-06-26,0.5
2017-06-27,0.0
2017-07-03,0.8
2017-07-11,1.0
2017-07-13,1.0
2017-07-18,0.0
2017-07-20,1.0
2017-07-24,1.0
2017-07-26,0.0
2017-07-28,1.0
2017-08-01,0.0
2017-08-02,1.0
2017-08-04,1.0
2017-08-11,0.25
2017-08-12,0.6
2017-08-14,0.8
2017-08-15,1.0
2017-08-16,1.0
2017-08-17,0.0
2017-08-18,0.65
2017-08-20,0.5333333333333333
2017-08-21,1.0
2017-08-23,0.0
2017-08-24,0.75
2017-08-25,0.5333333333333333
2017-08-28,0.5714285714285714
2017-08-29,0.5
2017-08-30,0.9
2017-08-31,0.6
2017-09-01,0.9333333333333332
2017-09-04,0.8
2017-09-06,0.3
2017-09-07,1.0
2017-09-08,0.0
2017-09-15,1.0
2017-09-26,1.0
2017-10-12,0.6
2017-10-13,1.0
2017-10-20,0.19999999999999998
2017-10-22,0.6
2017-10-23,0.3333333333333333
2017-10-24,1.0
2017-10-25,0.75
2017-10-26,1.0
2017-10-27,0.72
2017-10-28,0.5333333333333333
2017-10-30,0.9199999999999999
2017-10-31,0.825
2017-11-01,0.3
2017-11-02,1.0
2017-11-03,0.4
2017-11-06,1.0
2017-11-09,0.0
2017-11-10,0.6
2017-11-14,0.0
2017-11-19,0.0
2017-11-20,0.0
2017-11-22,0.5
2017-11-26,0.0
2017-11-28,0.6
2017-12-05,1.0
2017-12-13,1.0
2017-12-15,1.0
2017-12-18,0.6
2017-12-20,0.0
2017-12-28,0.3
2018-01-04,0.6
2018-01-05,1.0
2018-01-14,0.0
2018-01-16,1.0
2018-01-22,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,0.5
2018-02-01,1.0
2018-02-02,0.3333333333333333
2018-02-05,0.5
2018-02-06,1.0
2018-02-09,0.3333333333333333
2018-02-12,0.8666666666666667
2018-02-13,1.0
2018-02-14,1.0
2018-02-27,0.6
2018-03-02,1.0
2018-03-05,1.0
2018-03-12,1.0
2018-03-14,1.0
2018-03-15,0.6
2018-03-16,0.9
2018-03-19,0.0
2018-03-20,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,0.6
2018-04-02,0.3
2018-04-03,1.0
2018-04-04,1.0
2018-04-07,0.0
2018-04-09,1.0
2018-04-10,0.0
2018-04-11,0.6666666666666666
2018-04-12,1.0
2018-04-13,0.8666666666666667
2018-04-16,0.8400000000000001
2018-04-17,0.3
2018-04-18,1.0
2018-04-19,0.8666666666666667
2018-04-20,0.44000000000000006
2018-04-22,1.0
2018-04-25,1.0
2018-04-26,0.6
2018-04-27,0.8
2018-05-02,0.8400000000000001
2018-05-03,1.0
2018-05-06,0.0
2018-05-08,0.6
2018-05-09,0.6
2018-05-10,0.6
2018-05-23,0.0
2018-05-24,0.0
2018-05-25,0.0
2018-05-27,0.0
2018-05-29,0.0
2018-05-30,1.0
2018-05-31,0.3
2018-06-01,1.0
2018-06-05,1.0
2018-06-07,0.0
2018-06-13,0.5
2018-06-14,0.5
2018-06-18,1.0
2018-06-26,1.0
2018-06-28,1.0
2018-06-29,0.6
2018-07-03,1.0
2018-07-05,1.0
2018-07-06,0.5
2018-07-09,0.6666666666666666
2018-07-10,1.0
2018-07-11,0.5
2018-07-13,1.0
2018-07-15,0.6
2018-07-16,1.0
2018-07-17,0.0
2018-07-18,0.8
2018-07-19,1.0
2018-07-25,1.0
2018-07-30,0.0
2018-08-02,0.6
2018-08-03,0.0
2018-08-05,0.3
2018-08-06,1.0
2018-08-09,1.0
2018-08-10,0.72
2018-08-13,0.6
2018-08-15,0.5
2018-08-16,0.85
2018-08-20,0.8
2018-08-21,0.5333333333333333
2018-08-22,0.8333333333333334
2018-08-23,0.8
2018-08-24,0.6857142857142857
2018-08-26,1.0
2018-08-27,1.0
2018-08-28,0.7428571428571429
2018-08-29,0.9333333333333332
2018-08-30,0.8666666666666667
2018-08-31,0.6599999999999999
2018-09-02,1.0
2018-09-03,0.8666666666666667
2018-09-04,0.15
2018-09-06,1.0
2018-09-07,0.8
2018-09-17,0.0
2018-09-20,0.0
2018-09-28,0.6
2018-10-11,1.0
2018-10-12,1.0
2018-10-15,0.4
2018-10-16,1.0
2018-10-17,0.0
2018-10-18,0.6
2018-10-19,1.0
2018-10-21,1.0
2018-10-22,0.65
2018-10-23,0.8
2018-10-24,0.64
2018-10-26,0.7999999999999999
2018-10-29,0.8307692307692308
2018-10-30,0.7333333333333334
2018-10-31,0.8222222222222223
2018-11-01,0.8666666666666667
2018-11-02,1.0
2018-11-04,0.8
2018-11-05,1.0
2018-11-06,1.0
2018-11-07,0.7333333333333334
2018-11-21,1.0
2018-11-22,0.52
2018-11-23,0.5
2018-11-25,0.0
2018-11-28,0.5
2018-11-29,1.0
2018-11-30,0.0
2018-12-02,1.0
2018-12-03,0.6
2018-12-05,1.0
2018-12-06,1.0
2018-12-07,0.6
2018-12-14,0.6
2018-12-17,1.0
2018-12-18,0.6
2018-12-19,0.0
2018-12-20,1.0
2018-12-24,0.6
2018-12-26,0.6
2018-12-28,1.0
2019-01-04,1.0
2019-01-06,1.0
2019-01-08,1.0
2019-01-09,0.6
2019-01-11,0.6
2019-01-15,1.0
2019-01-16,1.0
2019-01-28,0.0
2019-01-30,0.7714285714285715
2019-01-31,1.0
2019-02-01,1.0
2019-02-12,1.0
2019-02-14,0.0
2019-02-18,0.6
2019-02-21,1.0
2019-02-25,0.0
2019-02-27,0.8
2019-02-28,0.8
2019-03-01,0.3
2019-03-03,1.0
2019-03-04,0.8
2019-03-05,1.0
2019-03-07,0.8
2019-03-08,0.5333333333333333
2019-03-11,1.0
2019-03-12,0.5
2019-03-13,0.0
2019-03-14,0.0
2019-03-19,0.6
2019-03-22,0.8
2019-03-25,1.0
2019-03-26,1.0
2019-03-27,0.8
2019-03-28,0.6666666666666666
2019-03-29,1.0
2019-03-31,1.0
2019-04-01,1.0
2019-04-02,1.0
2019-04-03,0.6333333333333333
2019-04-04,0.3
2019-04-08,0.9
2019-04-09,0.6666666666666666
2019-04-10,0.7
2019-04-12,0.6
2019-04-15,0.8666666666666667
2019-04-16,1.0
2019-04-19,0.75
2019-04-22,0.65
2019-04-23,0.8666666666666667
2019-04-24,0.65
2019-04-25,1.0
2019-04-26,0.7999999999999999
2019-04-28,1.0
2019-04-29,0.7428571428571429
2019-04-30,0.65
2019-05-05,0.9692307692307692
2019-05-06,0.6
2019-05-07,0.6
2019-05-08,1.0
2019-05-09,1.0
2019-05-10,0.0
2019-05-12,1.0
2019-05-14,0.8
2019-05-19,1.0
2019-05-23,1.0
2019-05-27,1.0
2019-06-02,1.0
2019-06-04,0.5
2019-06-05,1.0
2019-06-06,0.6
2019-06-09,1.0
2019-06-10,1.0
2019-06-13,1.0
2019-06-17,0.8
2019-06-19,1.0
2019-06-25,0.8
2019-07-01,1.0
2019-07-02,1.0
2019-07-03,1.0
2019-07-09,0.6
2019-07-10,0.8
2019-07-15,0.9555555555555555
2019-07-16,0.8666666666666667
2019-07-17,1.0
2019-08-01,1.0
2019-08-05,0.0
2019-08-06,1.0
2019-08-08,0.8857142857142858
2019-08-12,1.0
2019-08-13,0.9333333333333332
2019-08-14,0.6
2019-08-15,0.6
2019-08-20,1.0
2019-08-21,1.0
