name,rationale,params,train_metrics,validation_metrics,factor_alignment_train,factor_alignment_validation,score,review_metrics,factor_alignment_review,robustness_score,accepted
trend_convex_01,趋势驱动+凸性约束,"{'signal_confidence_min': 48.543436937742044, 'convexity_min': 2.392740144520729, 'hold_days': 11, 'max_daily_trades': 2}","{'annual_return': 0.0, 'max_drawdown': 0.0, 'positive_window_ratio': 1.0, 'trades': 0}","{'annual_return': 0.0, 'max_drawdown': 0.0, 'positive_window_ratio': 1.0, 'trades': 0, 'violations': 0}",0.0,0.0,0.5545000000000001,"{'annual_return': 0.0, 'max_drawdown': 0.0, 'positive_window_ratio': 1.0, 'trades': 0, 'violations': 0}",0.0,0.8225000000000001,True
report_momentum_02,研报偏向驱动的动量延续,"{'signal_confidence_min': 46.543436937742044, 'convexity_min': 2.192740144520729, 'hold_days': 14, 'max_daily_trades': 2}","{'annual_return': 0.0, 'max_drawdown': 0.0, 'positive_window_ratio': 1.0, 'trades': 0}","{'annual_return': 0.0, 'max_drawdown': 0.0, 'positive_window_ratio': 1.0, 'trades': 0, 'violations': 0}",0.0,0.0,0.5545000000000001,"{'annual_return': 0.0, 'max_drawdown': 0.0, 'positive_window_ratio': 1.0, 'trades': 0, 'violations': 0}",0.0,0.8225000000000001,True
news_reversion_03,新闻冲击后的均值回归,"{'signal_confidence_min': 43.543436937742044, 'convexity_min': 1.9927401445207291, 'hold_days': 7, 'max_daily_trades': 3}","{'annual_return': 0.0, 'max_drawdown': 0.0, 'positive_window_ratio': 1.0, 'trades': 0}","{'annual_return': 0.0, 'max_drawdown': 0.0, 'positive_window_ratio': 1.0, 'trades': 0, 'violations': 0}",0.0,0.0,0.5545000000000001,"{'annual_return': 0.0, 'max_drawdown': 0.0, 'positive_window_ratio': 1.0, 'trades': 0, 'violations': 0}",0.0,0.8225000000000001,True
