mode,trial,params,score,annual_return,max_drawdown,positive_window_ratio,trades,factor_alignment,started_at,elapsed_sec
long,1,"{""hold_days"": 14, ""max_daily_trades"": 1, ""signal_confidence_min"": 61.252554849781426, ""convexity_min"": 2.563780214939321, ""news_weight"": 0.47570492622593374, ""report_weight"": 0.2269093490508841, ""signal_confidence_effective"": 59.44423463070089}",0.49622168612955453,0.010391704109947941,0.1732886242076358,0.9918934568616097,18,0.007187997606912305,2026-02-13T22:51:29.357751,16.701206922531128
long,2,"{""hold_days"": 15, ""max_daily_trades"": 2, ""signal_confidence_min"": 63.4251719230022, ""convexity_min"": 2.2975763320238434, ""news_weight"": 0.5105291246859417, ""report_weight"": 0.24441222042199334, ""signal_confidence_effective"": 61.48773409653759}",0.5218282030497796,0.012599440125789174,0.16082241317083612,0.9918934568616097,18,0.008914843723499476,2026-02-13T22:51:45.896973,16.53921604156494
long,3,"{""hold_days"": 15, ""max_daily_trades"": 2, ""signal_confidence_min"": 64.31955411810094, ""convexity_min"": 2.569141757252601, ""news_weight"": 0.5206659851092754, ""report_weight"": 0.287780130225491, ""signal_confidence_effective"": 62.10215745861896}",0.531241836015801,0.020695422287392296,0.16082241317083634,0.9924724956572091,17,0.006365588175561115,2026-02-13T22:52:02.426377,16.52939796447754
