mode,trial,params,score,annual_return,max_drawdown,positive_window_ratio,trades,factor_alignment,started_at,elapsed_sec
swing,1,"{""hold_days"": 11, ""max_daily_trades"": 2, ""signal_confidence_min"": 72.31182867575521, ""convexity_min"": 3.3159945578929557, ""news_weight"": 0.7580877400853738, ""report_weight"": 0.35452596812986836, ""signal_confidence_effective"": 69.60008194504977}",0.8,0.0,0.0,1.0,0,0.0,2026-02-13T22:50:39.166240,16.593383073806763
swing,2,"{""hold_days"": 12, ""max_daily_trades"": 2, ""signal_confidence_min"": 70.59851738710277, ""convexity_min"": 3.175141137697664, ""news_weight"": 0.8379341179183761, ""report_weight"": 0.40934257778448013, ""signal_confidence_effective"": 67.55281670075104}",0.6299395444007454,0.02450395810357664,0.1127858203604275,0.9953676896352056,10,0.024183732056861185,2026-02-13T22:50:55.953478,16.787231922149658
swing,3,"{""hold_days"": 12, ""max_daily_trades"": 2, ""signal_confidence_min"": 78.0, ""convexity_min"": 3.1534285513391094, ""news_weight"": 0.6812513307246433, ""report_weight"": 0.2324600588926867, ""signal_confidence_effective"": 76.0670476959577}",0.8066476160106901,0.03064452720928279,0.020761053492556858,0.9994209612044007,2,0.025691035608774622,2026-02-13T22:51:12.655823,16.702340126037598
